,DATE,DAYS,posts
0,October 10,World Mental Health Day,492500
1,June 5,World Environment Day,234900
2,June 8,World Oceans Day,227900
3,June 21,International Yoga Day,222100
4,February 4,World Cancer Day,218600
5,March 20,International Day of Happiness,203900
6,March 21,World Down Syndrome Day,187300
7,March 22,World Water Day,173200
8,day in 1st week in Oct,World Ballet Day,156400
9,October (day in 1st week),World Ballet Day,156400
10,September 29,International Coffee Day,132500
11,1st Fri in Oct,World Smile Day,123000
12,October (First Friday),World Smile Day,123000
13,November 17,World Prematurity Day,120900
14,November 1,World Vegan Day,104800
15,November 13,World Kindness Day,95000
16,March 21,World Poetry Day,80600
17,March 3,World Wildlife Day,72000
18,November 14,World Diabetes Day,68200
19,October 16,World Food Day,55400
20,February 1,World Hijab Day,52600
21,June 20,World Refugee Day,50400
22,February 5,World Nutella Day,43400
23,June 20–21 (Solstice),International Surfing Day,42800
24,June 14,World Blood Donor Day,25100
25,June 1,World Milk Day,22000
26,February 13,World Radio Day,20200
27,June 3,World Bicycle Day,20000
28,October 1,World Vegetarian Day,19100
29,2nd Thu in Oct,World Sight Day,16900
30,October 12,World Sight Day,16900
31,October 11,International Day of the Girl Child,13700
32,November 19,World Toilet Day,13300
33,February 22,World Thinking Day,11200
34,February 21,International Mother Language Day,9797
35,March 21,International Day of Forests,9382
36,February 2,World Wetlands Day,7852
37,June 19,World Sickle Cell Day,7514
38,June 12,World Day Against Child Labour,7279
39,January 27,International Holocaust Remembrance Day,7269
40,March 20,World Oral Health Day,6651
41,October 29,World Stroke Day,5930
42,March 20,World Sparrow Day,5867
43,June 25,World Vitiligo Day,5758
44,November 21,World Hello Day,5691
45,February 15,International Childhood Cancer Day,5549
46,1st Mon in Oct,World Habitat Day,4174
47,February 11,International Day of Women and Girls in Science,4088
48,November 25,International Day for the Elimination of Violence against Women,3796
49,October 9,World Post Day,3691
50,March 21,World Puppetry Day,3581
51,October 2,World Cerebral Palsy Day,3224
52,November 17,International Students Day,2816
53,November 21,World Television Day,2700
54,March 24,World Tuberculosis Day,2658
55,October 11,World Obesity Day,2621
56,September 30,International Translation Day,2460
57,February 20,World Day of Social Justice,2456
58,October 20,World Osteoporosis Day,2245
59,3rd Thu in Nov,World Philosophy Day,1880
60,June 13,International Albinism Awareness Day,1614
61,March 23,World Meteorological Day,1542
62,October 13,World Thrombosis Day,1539
63,March 21,International Colour Day,1444
64,November 12,World Pneumonia Day,1299
65,October 28,International Animation Day,1183
66,November 16,International Day for Tolerance,1127
67,October 1,International Day of Older Persons,1077
68,February 27,World NGO Day,1025
69,January 26,International Customs Day,838
70,November 8,International Day of Radiology,818
71,March 21,International Day for the Elimination of Racial Discrimination,727
72,February 11,World Day of the Sick,718
73,October 16,World Anaesthesia Day,632
74,October 17,International Day for the Eradication of Poverty,626
75,October 20,World Statistics Day,571
76,2nd Sat in Oct,International Migratory Bird Day,564
77,Third Sunday in January,World Religion Day,556
78,October 22,International Stuttering Awareness Day,493
79,June 16,International Day of the African Child,465
80,October 14,World Standards Day,348
81,June 26,International Day against Drug Abuse and Illicit Trafficking,328
82,March 12,World Glaucoma Day,296
83,June 21,World Humanist Day,258
84,October 18,World Vasectomy Day,252
85,June 6,World Pest Day,245
86,November 10,World Science Day for Peace and Development,213
87,November 29,International Day of Solidarity with the Palestinian People,195
88,October 13,International Day for Disaster Reduction,193
89,October 24,World Development Information Day,180
90,June 17,World Day to Combat Desertification and Drought,168
91,June 4,International Day of Innocent Children Victims of Aggression,163
92,October 21,International Day of the Nacho,154
93,3rd Sun in Nov,World Day of Remembrance for Road Traffic Victims,152
94,March 15,World Contact Day,151
95,March 1,World Civil Defence Day,127
96,October 27,World Day for Audiovisual Heritage,126
97,March 25,International Day of Remembrance of the Victims of Slavery and the Transatlantic Slave Trade,61
98,June 6,International Day of Beauty,60
99,February 6,International Day of Zero Tolerance to Female Genital Mutilation,50
100,November 6,International Day for Preventing the Exploitation of the Environment in War and Armed Conflict,27
101,March 21,International Day of Nowruz,25
102,October 5,International Day of No Prostitution,23
103,February 1,World Aspergillosis Day,22
104,November 2,International Day to End Impunity for Crimes Against Journalists,21
105,February 14,World Valentine Day,18
106,March 25,International Day of the Unborn Child,16
107,March 20,International Day of Francophonie,12
108,February 7,International Safer Internet Day,9
109,November 10,World NET Cancer Awareness Day,6
110,January 11,International Parity at Work Day,4
111,June 12,International Shia Day,3
112,World Thrombosis Day,International Society on Thrombosis and Haemostasis World Thrombosis Day,0
113,September 15,International Day of Democracy,0
114,September 13,"International Chocolate Day, Birthday of Milton S. Hershey.",0
115,October 5,World Teachers' Day,0
116,September 23,International Day of Sign Languages,0
117,October 2,International Day of Non-Violence,0
118,September 16,International Day for the Preservation of the Ozone Layer,0
119,September 22,World Rhino Day,0
120,September 28,International Safe Abortion Day,0
121,September 18,World Water Monitoring Day,0
122,September 28,International Right to Know Day,0
123,September 28,World Rabies Day,0
124,September 27,World Tourism Day,0
125,September 19,International Talk Like a Pirate Day,0
126,September 21,International Day of Peace,0
127,September 26,World Contraception Day,0
128,September 29,World Heart Day,0
129,January 1,International Public Domain Day,0
130,October 16,"National Boss Day (Boss's Day), World Food Day",0
131,October 23,International Cyrus The Great Memorial Day,0
132,December 20,International Human Solidarity Day,0
133,December 18,International Migrants Day,0
134,December 11,International Mountain Day,0
135,December 9,International Anti-Corruption Day,0
136,December 7,International Civil Aviation Day,0
137,December 5,International Volunteer Day for Economic and Social Development,0
138,December 5,World Soil Day,0
139,December 3,International Day of Persons with Disabilities,0
140,December 2,International Day for the Abolition of Slavery,0
141,December 1,World AIDS Day,0
142,November 17,International Students' Day,0
143,November 13,World Kindness Day,0
